schoolid,schoolname,calendaryear,ftrestuition,ptrestuition,ftnonrestuition,ptnonrestuition,tuitionguarind,oncampuscosts,offcampuscosts,athomecosts,schooltype
00153601,University of Miami,2016,49042,,49042,,N,,28592,11272,PRI
00153601,University of Miami,2017,50578,,50578,,N,,26440,10382,PRI
00156400,Emory University,2011,45098,,45098,,N,26282,26282,26282,PRI
00156400,Emory University,2012,45098,,45098,,N,26626,26626,26626,PRI
00156400,Emory University,2013,48174,,48174,,N,27622,27622,27622,PRI
00156400,Emory University,2014,49734,,49734,,N,26422,26422,26422,PRI
00156400,Emory University,2015,51510,,51510,,N,24748,24748,24748,PRI
00156400,Emory University,2016,53350,,53350,,N,23666,23666,23666,PRI
00156400,Emory University,2017,55336,,55336,,N,23352,23352,23352,PRI
00157400,Georgia State University,2011,14770,11638,34834,26686,N,15958,15061,7810,PUB
00157400,Georgia State University,2012,15154,14078,34834,32118,N,15438,15061,7810,PUB
00157400,Georgia State University,2013,16042,14892,35722,32932,N,15438,15061,7810,PUB
00157400,Georgia State University,2014,16378,12844,35986,27550,N,16914,16100,8910,PUB
00157400,Georgia State University,2015,16858,13204,36466,27910,N,17572,16100,8910,PUB
00157400,Georgia State University,2016,16858,13204,36456,27910,N,17572,16100,8910,PUB
00157400,Georgia State University,2017,17050,13348,36658,28054,N,17520,16730,9300,PUB
00158015,Mercer University,2011,36860,,36860,,N,18114,18114,18114,PRI
00158015,Mercer University,2012,37260,,37260,,N,18014,18014,18014,PRI
00158015,Mercer University,2013,37260,,37260,,N,20219,20219,20219,PRI
00158015,Mercer University,2014,37260,,37260,,N,20219,20219,20219,PRI
00158015,Mercer University,2015,37260,,37260,,N,20540,20540,20540,PRI
00158015,Mercer University,2016,37962,,37962,,N,21338,21338,21338,PRI
00158015,Mercer University,2017,37962,,37962,,N,21424,21424,21424,PRI
00159800,University of Georgia,2011,17624,,34732,,N,13096,16520,9198,PUB
00159800,University of Georgia,2012,18058,,35480,,N,13068,16902,8986,PUB
00159800,University of Georgia,2013,18740,,36410,,N,13512,17534,9220,PUB
00159800,University of Georgia,2014,19140,,36810,,N,15746,19768,11454,PUB
00159800,University of Georgia,2015,19476,,37524,,N,16628,18920,12290,PUB
00159800,University of Georgia,2016,19488,,37536,,N,14472,16438,8250,PUB
00159800,University of Georgia,2017,19696,,38134,,N,15200,17636,9004,PUB
00161000,University of Hawaii,2011,17378,1347,32522,1978,N,13221,15485,6166,PUB
00161000,University of Hawaii,2012,18094,15200,34486,28860,N,13123,15925,6450,PUB
00161000,University of Hawaii,2013,19006,15950,36910,30870,N,13392,16507,6622,PUB
00161000,University of Hawaii,2014,19464,7299,39192,14697,N,17758,17758,7348,PUB
00161000,University of Hawaii,2015,22392,16792,45816,34361,Y,19106,19106,8256,PUB
00161000,University of Hawaii,2016,23142,17544,46566,35112,N,20013,20013,10856,PUB
00161000,University of Hawaii,2017,23142,17544,46566,35112,N,21077,21077,11518,PUB
00162600,University of Idaho,2011,14040,,26560,,N,16340,16340,16340,PUB
00162600,University of Idaho,2012,15036,,27824,,N,16228,16228,6950,PUB
00162600,University of Idaho,2013,15774,,28850,,N,15744,15744,6332,PUB
00162600,University of Idaho,2014,16480,,30010,,N,15816,15816,,PUB
00162600,University of Idaho,2015,17230,,31234,,N,9902,9902,,PUB
00162600,University of Idaho,2016,18664,,33472,,N,10018,10018,10018,PUB
00162600,University of Idaho,2017,19748,,36072,,N,10188,10188,10188,PUB
00167100,Depaul University,2011,41690,27250,41690,27250,Y,24500,24500,24500,PRI
00167100,Depaul University,2012,43220,28085,43220,28085,Y,20343,20343,20343,PRI
00167100,Depaul University,2013,44999,29414,44999,29414,Y,21845,21845,21845,PRI
00167100,Depaul University,2014,44999,29414,44999,29414,N,20932,20932,20932,PRI
00167100,Depaul University,2015,45450,29710,45450,29710,N,22606,22606,22606,PRI
00167100,Depaul University,2016,46300,30245,46300,30245,N,22598,22598,22598,PRI
00167100,Depaul University,2017,47230,30560,47230,30560,N,22562,22562,22562,PRI
00169101,Chicago-Kent College of Law-IIT,2011,42030,30718,42030,30718,N,21098,21098,21098,PRI
00169101,Chicago-Kent College of Law-IIT,2012,43260,31620,43260,31620,N,20953,20953,20953,PRI
00169101,Chicago-Kent College of Law-IIT,2013,44410,32440,44410,32440,N,20457,20457,20457,PRI
00169101,Chicago-Kent College of Law-IIT,2014,45472,33220,45472,33220,N,21854,21854,21854,PRI
00169101,Chicago-Kent College of Law-IIT,2015,46822,34210,46822,34210,Y,22635,22635,22635,PRI
00169101,Chicago-Kent College of Law-IIT,2016,46822,34210,46822,34210,Y,22122,22122,22122,PRI
00169101,Chicago-Kent College of Law-IIT,2017,46822,35200,46822,35200,Y,21680,21680,21680,PRI
00169800,John Marshall Law School,2011,38180,27300,38180,27300,N,23849,23849,23849,PRI
00169800,John Marshall Law School,2012,39884,28524,39884,28524,N,26004,26004,26004,PRI
00169800,John Marshall Law School,2013,44024,30884,44024,30884,N,26814,26814,26814,PRI
00169800,John Marshall Law School,2014,45120,31665,45120,31665,N,26814,26814,26814,PRI
00169800,John Marshall Law School,2015,45780,32127,45780,32127,N,,26814,26814,PRI
00169800,John Marshall Law School,2016,47125,32715,47125,32715,N,,26080,26080,PRI
